,Title,Company,Company_Rating,Location,Salary,Date,Description,Yearly,Hourly,Min_Salary,Max_Salary,Avg_Salary,Remote,State,Python,R_studio,Spark,Excel,SQL
97,Desarrollador Web,Indra,3.7,"Naucalpan, Méx.","$25,000 - $33,000 al mes",2022-04-27,"Spring, Spring boot, Spring Data.
 Desarrollo de RESTFUL Web Services.
 Desarrollo de aplicaciones web funcionales usando Angular.",0,0,25000,33000,29000.0,0, Méx.,0,1,0,0,0
98,Gerente Inteligencia Comercial,HQ_Talento,,"Monterrey, N. L.","$50,000 al mes",2022-04-21,"Somos una empresa 100% mexicana con más de 25 años de experiencia en conectar el talento con las empresas.
 Ingresar a AIRA y contestar las preguntas y/o pruebas…",0,0,50000,50000,50000.0,0, N. L.,0,1,0,0,0
99,Sales Representative - B2B (English Speaking/Writing),Southland Polymers,,"Tijuana, B.C.","$30,000 - $50,000 al mes",2022-04-08,"Create and maintain CRM data and sales statistics as required.
 Position is focused on securing business from prospective and current accounts in an effort to…",0,0,30000,50000,40000.0,0, B.C.,0,1,0,0,0
100,Customer Service Representative,KINETEK DE MEXICO,3.6,"Apodaca, N. L.","$20,000 - $30,000 al mes",2022-04-28,"2-5 years of call center or data center experience.
 Provide basic technical support to customers via email, phone, or other methods.",0,0,20000,30000,25000.0,0, N. L.,0,1,0,0,0
101,"Experiencia en CAN (CANalyzer, CANoe, CANope)",Bendix Commercial Vehicle Systems,3.8,"Apodaca, N. L.","$78,000 al mes",2022-04-10,"Skills with data acquisition systems for vehicle and environmental testing.
 This position is responsible for design, development, application, testing, and…",0,0,78000,78000,78000.0,0, N. L.,0,1,0,0,0
102,Instructor para Bootcamp de Data Science,UTEL Universidad Tecnologica Latinoaméricana,,"Gustavo A. Madero, CDMX","$30,000 - $35,000 al mes",2022-04-04,Transmitir tu conocimiento en formato teórico y práctico a los estudiantes y acompañarlos en el desarrollo de las habilidades profesionales enfocadas a Data…,0,0,30000,35000,32500.0,0, CDMX,0,1,0,0,0
103,Account Manager,Comercializadora Epya,,"Remoto in Colonia Santa Fe, CDMX","$10,000 al mes",2022-04-23,"Administración de recursos digitales agencia y cliente: contenido, estrategia, data, creativo, contenido, desarrollo web, producción audiovisual y medios.",0,0,10000,10000,10000.0,0, CDMX,0,1,0,0,0
104,ESPECIALISTA DE BASE DE DATOS,EMPRESA SOCIA DE AMEDIRH,,"Cuajimalpa, CDMX","$35,000 - $45,000 al mes",2022-04-04,"RMAN, Data Pump y Data Guard.
 Liderazgo, visión del negocio, administración del tiempo y toma de decisiones.
 Salario: $35,000 - $45,000 (negociable) + SGM + SV …",0,0,35000,45000,40000.0,0, CDMX,0,1,0,0,0
105,Digital Marketing Analyst (Remoto-México),Remoteco,,Remoto,"$28,000 - $29,000 al mes",2022-04-27,"Excellent Excel and data analysis skills, able to read, interpret and use data to inform ad strategies • Understanding of Google Analytics • Digital marketing…",0,0,28000,29000,28500.0,0,Remoto,0,1,0,1,0
106,Digital Marketing Analyst (Remoto-México),Remoteco,,Remoto,"$28,000 - $29,000 al mes",2022-04-27,"Excellent Excel and data analysis skills, able to read, interpret and use data to inform ad strategies • Understanding of Google Analytics • Digital marketing…",0,0,28000,29000,28500.0,0,Remoto,0,1,0,1,0
