,Title,Company,Company_Rating,Location,Salary,Date,Description
361,Ingeniero de Calidad,Adient,3.3,"Ramos Arizpe, Coah.",,Postedhace 10 días,"Analyzes data to provide continuous improvements in the supplier's products.
 Provides quality assurance support and refines production methods."
362,Marketing Strategy Leader,Aliato,3.5,Remoto,,Postedhace 30+ días,"Analyzing data to reduce CPA and scale.
 The Strategist serves as the client-facing leader of our agency to our existing clients."
363,Social Media Coordinator,AMResorts,3.8,"Cancún, QRoo.",,Postedhace 20 días,You must have extensive experience navigating different social media platforms and understand how to analyze data to determine popular trends and develop…
364,Data Scientist,Globant,4.1,"Guadalajara, Jal.+1 ubicación",,Postedhace 30+ días,"Analyze data sources for completeness of data semantics and gaps.
 Experience with big data architectures is a plus!
 Experience with Python or R."
365,Data Engineer - He[a]t PMT,Continental,4.0,"Guadalajara, Jal.",,Postedhace 21 días,"We are looking for a person with experience to help us design and architect data processing pipelines for data modelling, transformation, analysis, and…"
366,Program Finance Manager,CIMMYT,4.5,"Texcoco, Méx.",,Postedhace 30+ días,"Knowledge of financial systems, ERP, MS office, databases, data extraction methods, report presentation and analytical skills."
367,nuevo empleoHR Student,ALSTOM,4.0,"Querétaro, Qro.",,Postedhace 7 días,Support colleagues with validation of any data amendments and document checks in order to ensure a high-quality service delivery.
368,nuevo empleoService Coordination Supervisor,W.W. Williams Company,,"Tlalnepantla, Méx.",,Postedhace 7 días,"Analytical - Collects and researches data; Uses intuition and experience to complement data.
 SUMMARY: Directs and guides the activities of all off highway…"
369,nuevo empleoSenior Financial Controller (Tax),Revolut,,Remoto,,Postedhace 5 días,You will be responsible for establishing an effective accounting function in Mexico and for leading the implementation of financial systems alongside our CFO…
370,AUXILIAR DE CREDITO Y COBRANZA,Saxoline,,"Naucalpan, Méx.",,Postedhace 24 días,"Gathering pertinent documentation for requested sample data.
 Reconcile daily credit card transactions to settlement received from credit card processor."
371,Data Engineer- HO - Beneficios Superiores,Dresden Partners,2.4,"Remoto in Cuauhtémoc, CDMX",,Postedhace 30+ días,"Dresden Partners expertos en web technology, mobile and software development, con servicios near-shore staffing, tech international y local tech sourcing…"
372,nuevo empleoSenior Backup/Recovery Engineer - Global Data Protection,SAP,4.3,"San Pedro Garza García, N. L.",,Postedhace 5 días,"Preferred 5+ years of working experience in a data protection (backup/recovery) infrastructure.
 You will be part of a team responsible for providing data…"
373,Jr. Design Engineer (Automotive Steering),Bosch Group,4.1,"Guadalajara, Jal.",,Postedhace 17 días,"Develop/maintain/release math data using software CREO, PDMLink and Axalant.
 Develop/maintain/release math data using software CREO, PDMLink and Axalant."
374,Python Data Engineer,Infosys,3.9,"León, Gto.",,Postedhace 30+ días,"Minimum 3 years of data engineering experience.
 Python (plus common data manipulation & statistical libraries).
 CI/CD tools (e.g. Bamboo, Octopus, Jenkins)."
375,Writer,JANA Engineering Services de Mexico.,,"Querétaro, Qro.","$16,000 al mes",EmployerActivo hace 4 días,"Fact-check any data collected during the research process.
 Their duties include researching their subject, proofreading their drafts and updating a writing…"
376,Data Engineer,Servicios Integrales W,,"Azcapotzalco, CDMX","$77,000 al año",Postedhace 30+ días,"Conocimiento de bases de datos Big Data, SQL, Azure, Hive, Hadoop, Sqoop, Presto, Map/Reduce, PostgreSQL.
 Conocimiento avanzado y experiencia probada con Python…"
377,Profesor Online,LatinHire,4.0,"Monterrey, N. L.",$175 - $325 por hora,Contratación continua,Se busca estudiante o profesional con conocimientos robustos en más de 40 materias para trabajar con estudiantes norteamericanos mediante tutorías dictadas en…
378,Digital Drilling Engineer,Schlumberger,4.0,"Villahermosa, Tab.",,Postedhace 11 días,"The Digital Drilling Engineer (DDE) is responsible for the implementation, office adoption and customer support of DrillPlan, DrillOps and Drilling Data…"
379,Jr. Data Engineer,Derevo,,"Guadalajara, Jal.",,Postedhace 30+ días,"Realizar análisis de ejecución de Pipelines de datos y sus arquitecturas en la nube, identificado la lógica de ejecución y sus flujos de control de ejecución,…"
380,Data Engineer,Top Sales Solutions,,"Guadalajara, Jal.",,Postedhace 27 días,"Be a core player in technical process from ideation to delivery: Research, experiment, and utilize leading data platforms and container methodologies to migrate…"
381,Engineering Designer,Kautex,3.6,"Puebla, Pue.",,Postedhace 30+ días,"Proactively create and change CAD 3D data.
 Release of CAD data into customer database, if necessary.
 Selective catalytic reduction systems (SCR) and clear…"
382,Staff Accountant,MD Medical Group,,"Remoto in Monterrey, N. L.","$20,000 - $35,000 al mes",EmployerActivo hace 7 días,"Excellent analytical skills to manage large amounts of data.
 PRIMARY FUNCTION: *The Staff Accountant is responsible for assisting with the GL accounting…"
383,Data Scientis Middle,Eos The Fintech Co,,"11000, Colonia Lomas de Chapultepec, CDMX",,Postedhace 30+ días,"Licenciatura en carreras como, Actuaría, Matemáticas, Sistemas, Economía a fin.
 Experiencia en riesgo financiero o crediticio (indispensable)."
384,Data Governance Analyst,Emerson,3.8,"Monterrey, N. L.",,Postedhace 12 días,"Monitorea IDW (o IDEA) para todas las necesidades de distribución de datos en nuestra industria.
 Administra cargas masivas para los datos maestros atribuidos al…"
385,"HEALTH, SAFETY AND ENVIRONMENT MANAGER",Procter & Gamble,4.1,"Naucalpan, Méx.",,Postedhace 12 días,"Provides analysis of HS&E data within area of responsibility.
 Health, Safety, and Environmental Manager.
 WORK SCHEDULE: FULL-TIME WITH FLEXIBLE WORKING HOURS."
386,Engineer II Pure Refreshment Gum & Candy,Mondelēz International,4.0,"Tlalnepantla, Méx.",,Postedhace 11 días,"Applying fundamental technical understanding to interpret and analyze data and to reach clear conclusions.
 You work as part of a cross-functional team to lead…"
387,QA Engineer 2,Skyworks,3.8,"Mexicali, B.C.",,Postedhace 30+ días,"PRIMARY RESPONSIBILITY: Develops, evaluates, revises, and applies technical quality assurance protocols/methods to inspect and test in-process raw materials,…"
388,Business Development Manager,8020REI,,Remoto,,Postedhace 19 días,"This is a high-level Sales role that requires mastering a unique approach to Data in the Real Estate industry, along with using great people skills."
389,Payroll Analyst,Tetra Pak,4.2,"Colonia Polanco, CDMX",,Postedhace 30+ días,"Participate in monthly, quarterly, and annual reconciliations, audits, and perform routine analysis ensuring accuracy of the data in the payroll system."
390,QA Engineer 2,Skyworks,3.8,"Mexicali, B.C.",,Postedhace 30+ días,"PRIMARY RESPONSIBILITY: Develops, evaluates, revises, and applies technical quality assurance protocols/methods to inspect and test in-process raw materials,…"
391,Business Development Manager,8020REI,,Remoto,,Postedhace 19 días,"This is a high-level Sales role that requires mastering a unique approach to Data in the Real Estate industry, along with using great people skills."
392,Payroll Analyst,Tetra Pak,4.2,"Colonia Polanco, CDMX",,Postedhace 30+ días,"Participate in monthly, quarterly, and annual reconciliations, audits, and perform routine analysis ensuring accuracy of the data in the payroll system."
393,nuevo empleoAS400 Specialist,Luxoft,4.4,Remoto,,Postedhace 3 días,"Create and maintain quality software using best-in-class tools.
 Work with QA, product management, and operations in an Agile environment."
394,Remote Python Developer (BI Development and Data Integration...,Turing.com,,Remoto,,Postedhace 30+ días,"Prolific understanding of data integration.
 The company enables innovators to simplify complex data into intuitive experiences."
395,Auxiliar de Mostrador,UPS Mexico,3.7,"Tlalnepantla, Mor.+2 ubicaciones",,Postedhace 25 días,"Accurate and rapid data entry.
 This position performs general office duties including word processing, data entry, auditing documents, answering phones,…"
396,Latin America HSE Manager,Weatherford,3.9,"Villahermosa, Tab.",,Postedhace 24 días,"Responsible for the overall HSE data quality of Weatherford Performance Tracking System (WPTS).
 Continuously monitors for negative trends within HSE statistical…"
397,Full Stack Data engineer,Accenture,4.0,"Monterrey, N. L.",,Postedhace 30+ días,Accenture is aware and respects the privacy of its employees however the client internal policies require that a drug test is conducted and passed by the…
398,Digital Solutions | SAS Developer,TELUS International,3.8,Remoto,,Postedhace 30+ días,"Identify and edit checks per the data validation plan or data management plan.
 Establish monitoring of data transfers for ongoing trials to identify study…"
399,nuevo empleoData Scientist/ML Engineer,Emonics,,"Guadalajara, Jal.",,EmployerActivo hace 3 días,"Experience in Python for data analysis and machine learning.
 2 - 4 years of experience as a Data Scientist / ML Engineer.
 4 years: 2 years (Preferred)."
400,Wordpress Web Developer (Remoto-México),Remoteco,,Remoto,,EmployerActivo hace 4 días,"Integrate data from various back-end services and databases.
 We are a full-service digital marketing agency.
 We have a proven track record in increasing search…"
401,nuevo empleoEmbedded Test Engineer,Tech Mahindra,3.7,"Monterrey, N. L.",,Postedhace 3 días,"Functional validation of control functions using CANalyzer, CAN J1939 and J1708 protocols.
 Testing on bench & vehicles. development and execution of functional…"
402,Customer Service,BekaertDeslee,,"San Felipe Ixtacuixtla, Tlax.",,Postedhace 26 días,"Manage master data of active references.
 In this position, you will providing support to the Customer Service Manager.
 Update list of references regularly."
403,Master Data Analyst in Tlaxcala,Ericsson,4.1,"Puebla, Pue.",,Postedhace 24 días,"We are now looking for a Master Data Analyst to provide support to users regarding Data Migration, Data Quality, Data Governance, Support Planning, Procurement…"
404,"Líder de Proyecto - infraestructura, redes, data center",Cgs reclutamiento,,"Benito Juárez, CDMX",,Postedhace 30+ días,"Ingeniero industrial, eléctrico, en sistemas o afín.
 Experiencia y conocimiento en cableado y estructurado y tableros eléctricos."
405,nuevo empleoHead of Internal Audit,Revolut,,Remoto,,Postedhace 7 días,"You are a data evangelist and proficient in both working with and interpreting data - ideally with practical experience with one of the following: SQL, Python…"
406,nuevo empleo136 Business Analyst gobierno de datos,ASTECI,,"Cuauhtémoc, CDMX","$30,000 - $34,000 al mes",Postedhace 3 días,"Business Analyst en Gobierno de datos*.
 Licenciatura en Sistemas o afín.
 Orientado a resultados y autogestión.
 10 días de vacaciones desde el primer año."
407,GIS Data Engineer II,HERE Technologies,3.8,"León, Gto.",,Postedhace 30+ días,"Provide GIS and spatial data consultancy, especially focused on bulk source integration efforts.
 Detect problems with data-conversion, bulk updates, or the MAP…"
408,Recruiting Qualifiers - Appointment Setters (REMOTE),VoxelMaps Inc.,,+2 ubicacionesRemoto,,Postedhace 30+ días,Timeline: Approximately 6 months project that has started as of early September (dates are tentative and start/end date subject to change depending on data…
409,nuevo empleoEnterprise Account Manager,BMC Software,4.0,Remoto,,Postedhace 7 días,Applies judgement in evaluating and proposing recommendations to resolve issues that often require deep analysis and interpretation of data.
410,"SR. SPECIALIST, DATA ANALYTICS",AT&T,3.7,"Azcapotzalco, CDMX",,Postedhace 11 días,"Fulfill analysis requests by using complex queries to join data from various sources including relational databases, DataMart, data lakes and other sources."
411,nuevo empleoOps Mgr Clt Onbr and Acct Opn,HSBC,4.0,"Azcapotzalco, CDMX",,PostedRecién publicado,"Knowledge of transactional activity of suspicious / unusual patterns of activity using various internal systems, reports, and external data sources."
412,nuevo empleoDATA ANALYST,Atos,3.5,"Monterrey, N. L.",,PostedRecién publicado,"Analyze existing data stores and interfaces to support current state and future data models.
 Good understanding of data integration."
413,nuevo empleoData Science Sr,Grupo Salinas,3.9,"Tlalpan, CDMX",,Postedhace 4 días,"Conocimientos: Python, R, Aws, Bases de Datos (Oracle, SLQ, AWS), Alteryx (Muy deseable), BI: Kivana, Tableau, Power BI."
414,"Application Engineer, MQT (46923)",Autoliv Mexico,3.9,"Querétaro, Qro.",,Postedhace 26 días,"Collect and compile engineering statistical data.
 Develop 3D and 2D data for internal and external communication.
 Follow written and verbal instructions."
415,Data Coordinator,TOP Agency,,"Guadalajara, Jal.+1 ubicación",,Postedhace 20 días,"Identify, filter, and gather relevant data to support the creation of impactful reports.
 No problem, we've got your back.
 Strong written and analytical skills."
416,nuevo empleoSenior Quality and Data Governance Analyst (Remote/Monterrey...,S&P Global,3.9,Remoto,,Postedhace 6 días,"Facilitate the setup and maintenance of new source data receipt and enhancement.
 Managing the timing and release of all compiled data in the Data Operations…"
417,nuevo empleoCost Manager - Data Center Construction,Turner & Townsend,,"Querétaro, Qro.",,Postedhace 3 días,"The Cost Manager, also known as Quantity Surveyor, ensures building projects remain within budget.
 This role provides cost and material estimates, draw up…"
418,"Remote UI/UX Designer (Sketch, Figma, JIRA, Confluence, and...",Turing.com,,Remoto,,Postedhace 30+ días,"Analyze data and feedback to adjust the user experience.
 Only candidates with 3+ years of overall software development experience are eligible for this role.*."
419,Polymer Material Design Engineer,Nissan,3.8,"Toluca, Méx.",,Postedhace 30+ días,"Design Responsibility for Polymer commodity.
 Can manage Test Equipment and interpret results.
 Create and evaluates Cost Reduction Ideas."
420,Data Coordinator,TOP Agency,,"Guadalajara, Jal.+1 ubicación",,Postedhace 20 días,"Identify, filter, and gather relevant data to support the creation of impactful reports.
 No problem, we've got your back.
 Strong written and analytical skills."
421,nuevo empleoSenior Quality and Data Governance Analyst (Remote/Monterrey...,S&P Global,3.9,Remoto,,Postedhace 6 días,"Facilitate the setup and maintenance of new source data receipt and enhancement.
 Managing the timing and release of all compiled data in the Data Operations…"
422,nuevo empleoCost Manager - Data Center Construction,Turner & Townsend,,"Querétaro, Qro.",,Postedhace 3 días,"The Cost Manager, also known as Quantity Surveyor, ensures building projects remain within budget.
 This role provides cost and material estimates, draw up…"
423,"Remote UI/UX Designer (Sketch, Figma, JIRA, Confluence, and...",Turing.com,,Remoto,,Postedhace 30+ días,"Analyze data and feedback to adjust the user experience.
 Only candidates with 3+ years of overall software development experience are eligible for this role.*."
424,Polymer Material Design Engineer,Nissan,3.8,"Toluca, Méx.",,Postedhace 30+ días,"Design Responsibility for Polymer commodity.
 Can manage Test Equipment and interpret results.
 Create and evaluates Cost Reduction Ideas."
425,Bi-Lingual Supervisor of Credit & Collections,Effem Mexico,4.7,"Apodaca, N. L.",,EmployerActivo hace 6 días,"· Advanced Microsoft Excel skills required – pivot tables, working with large data sets, etc.
 Requires a strong background in analyzing financial statements and…"
426,SENIOR DATA SCIENTIST,Svitla Systems,,Remoto,,Postedhace 30+ días,"Provide leadership and coaching to data science and R&D teams to establish data science best practices within the project.
 Legal IMSS contract (no mix schema)."
427,nuevo empleoData Engineer,HERSHEY MX,,"Monterrey, N. L.",,Postedhace 3 días,"Responsable en la implementación del estándar y templates en el sistema OSI PI, mejoras en sistemas ya desarrollados y en funcionamiento, soporte técnico y…"
428,nuevo empleoBanquero de Apoyo Lindavista,Citi,3.9,"Gustavo A. Madero, CDMX",,Postedhace 6 días,"Interprets data and makes recommendations.
 Applies specialty area knowledge in monitoring, assessing, analyzing and/or evaluating processes and data."
429,nuevo empleoFrontEnd Mid,Tech Mahindra,3.7,"Guadalajara, Jal.",,Postedhace 3 días,"We're looking for a Front end Middle, with strong knowledge about solving problems.
 3 years experience in application development."
430,Líder de Operaciones Mina 1,Newmont Mining,4.0,"Mazapil, Zac.",,Postedhace 13 días,"Newmont never asks its candidates for any type of financial compensation to be a candidate for an offer of employment or for doing paperwork, exams or any other…"
431,nuevo empleoFrontend Developer,Tech Mahindra,3.7,"Guadalajara, Jal.",,Postedhace 3 días,"Play with the latest & greatest technologies on the test automation field.
 Interest and ability to learn other coding languages as needed."
432,General Manager,Selina,3.7,"Puerto Escondido, Oax.",,Postedhace 30+ días,"Manage the location’s P&L and reporting ensuring that all revenue, costs and data is consistent across all channels.
 Ensure proper use of the brand guidelines."
433,nuevo empleoEjecutivo Comercial TI,INTEGRADORES EN TICS S.A DE C.V,,"Cuauhtémoc, CDMX",,Postedhace 6 días,"Trabajar con metodologías comerciales y cumplimiento de cuota de ventas.}.
 Sueldo negociable a experiencia y aptitudes."
434,Data administrative support.,EPAM Systems,3.8,"Ciudad Victoria, Tamps.+19 ubicaciones",,Postedhace 30+ días,"Able to work with big amount of data and sources of data.
 You enjoy living by the code of your craft and developing elegant solutions for complex problems."
435,nuevo empleoEjecutivo Comercial TI,INTEGRADORES EN TICS S.A DE C.V,,"Cuauhtémoc, CDMX","$25,000 al mes",Postedhace 6 días,"Esta vacante viene de la bolsa de empleo Talenteca.com.
 Experiencia mínima de 2 años.
 INDISPENSABLE comercializar soluciones de TI (Cloud, Seguridad, Backup,…"
436,Data administrative support.,EPAM Systems,3.8,"Ciudad Victoria, Tamps.+19 ubicaciones",,Postedhace 30+ días,"Able to work with big amount of data and sources of data.
 By applying to our role, you are agreeing that your personal data may be used as in set out in EPAM´s…"
437,Analista de negocios TI,ROMBO MX,,"Cuauhtémoc, CDMX",,EmployerActivo hace 7 días,"Solicitud y seguimiento del Soporte y Mantenimientos a la aplicación en lo relacionado a la instalación de parches, data-fix clonaciones, concurrentes, Service…"
438,"POWER, CONTROL & INFORMATION SYSTEMS MANAGER (PC&IS)",Procter & Gamble,4.1,"Naucalpan, Méx.",,Postedhace 12 días,"Manage and improve the plant's production data acquisition system and control network.
 We are seeking talents for our Naucalpan & Vallejo Plant for the position…"
439,nuevo empleoSr. Software Engineer,Tech Mahindra,3.7,"Guadalajara, Jal.",,Postedhace 3 días,If you are the owner of personal data in possession of the Company and wish to obtain further information regarding the processing of your personal data or the…
440,Operations Manager,Concentrix,3.4,"Colonia del Valle, CDMX",,Postedhace 20 días,"Maximize revenue generation to reach long and short term financial projects (i.e. data collection for billable/non-billable hours, forecasting, budgeting, etc.)…"
441,Climate Data Specialist,MSCI Inc,,"Monterrey, N. L.",,Postedhace 30+ días,Your primary responsibility is to ensure the quality of our Climate Change Metrics data set and engage with internal and external stakeholders for better…
442,Operations Associate - Mexico,dLocal,,Remoto,,Postedhace 13 días,"Knowledge of data analytics and reporting.
 DLocal is the #1 payments leader focused on emerging markets and helps some of the best companies in the world expand…"
443,nuevo empleoDesarrollador Junior Para formación – Ciudad de México,Indra,3.8,"Miguel Hidalgo, CDMX",,PostedRecién publicado,"Esta vacante viene de la bolsa de empleo Talenteca.com.
 Trae tu talento a una compañía global de consultoría y tecnología, con presencia en los 5 continentes y…"
444,nuevo empleoStrategic Account Executive,Salesforce,4.3,+1 ubicaciónRemoto,,Postedhace 3 días,"Our mission is to help organizations change and innovate faster by making it easy to connect the world’s applications, data, and devices."
445,nuevo empleoDevOps- Mid Level,Tech Mahindra,3.7,"Guadalajara, Jal.",,Postedhace 3 días,If you are the owner of personal data in possession of the Company and wish to obtain further information regarding the processing of your personal data or the…
446,nuevo empleoSuccess Factors Trainees,Tech Mahindra,3.7,"Guadalajara, Jal.",,Postedhace 3 días,If you are the owner of personal data in possession of the Company and wish to obtain further information regarding the processing of your personal data or the…
447,nuevo empleoCoordinación de Laboratorio de Innovación (Nivel 7),General Motors,4.0,"Toluca, Méx.",,Postedhace 3 días,Develop Plans and Schedules; Develop Criteria and Requirements; Prepare & Conduct test; Report ADV Status; Support Quality Processes; Lead / Support Evaluation…
448,Software Engineer in Test (-SK),Intel,4.1,"Guadalajara, Jal.",,Postedhace 18 días,Employees in Intel's NAND Product Group deliver solutions that are transforming computing across all segments from data centers to Ultrabooks.
449,Sr. Database Administrator,American Standard,3.6,"Ecatepec, Méx.",,Postedhace 13 días,"Use high-speed transaction recovery techniques and backup data.
 Provide proactive and reactive data management support and training to users."
450,TEST DATA,IBM,3.9,"Monterrey, N. L.",,Postedhace 21 días,We are looking for data testers as part of our core team to take on some of our most demanding challenges to build and create products that will improve…
451,nuevo empleoIT Capacity Manager,HSBC,4.0,"Azcapotzalco, CDMX",,Postedhace 6 días,"Implement clear RACIs for data feeds / report generations and core outputs.
 Proficiency in handling large data using Excel to create various reports and views."
452,Data Warehouse,GRUPO THS,,"Tijuana, B.C.","$45,000 al mes",EmployerActivo hace 15 días,"Investigar, analizar, respaldar e implementar soluciones de bases de datos y cambios en la plataforma de data warehouse MS SQL Server/Snowflake Cloud."
453,OCR Entry - 1,PPG Industries,3.4,"Querétaro, Qro.",,Postedhace 30+ días,"As a Global OCR System Analyst, you will be responsible for global administration and support of PPG’s Flexicapture OCR system (an invoice digitalization…"
454,Software Engineer JR,Microsoft,4.2,"Guadalajara, Jal.",,Postedhace 30+ días,"The Commerce and Ecosystem team is responsible for services to deliver Billing, Cost Management and communication experiences to millions of customers."
455,"ESG Advisory Expert, Corporate Advisory",S&P Global,3.9,"Colonia del Valle, CDMX",,Postedhace 30+ días,"Deep understanding of the ESG market and their stakeholders (corporates, investors, NGO’s, legislation, third-party organizations) and their needs from a…"
456,Developer Trainer,HERE Technologies,3.8,"León, Gto.",,Postedhace 30+ días,"The L&D Specialist will coordinate requests from across arrange of business units, acting as a point of contact for the L&D Central Customer Support."
457,"Remote Senior Data Platform Engineer (Python, Plotly, Matplo...",Turing.com,,Remoto,,Postedhace 30+ días,"Experience with modern data systems such as data lake, data mesh, cloud-based data and processing.
 Familiarity with Cloud-based data environment."
458,Analista de People Data,Devlyn,3.7,"Miguel Hidalgo, CDMX",,EmployerActivo hace 13 días,"Somos una empresa 100% mexicana con más de 84 años de experiencia en México.
 Apoyar en los que se derive del analisis del impacto en el presupuesto de nómina y…"
459,Project Control Advisor II,FieldCore,3.6,Remoto,,Postedhace 26 días,"Maintain historical data from Projects and provide Benchmarking support to Project Teams as needed.
 Proficient in Project Controls, Earned Value Management,…"
460,Service Desk N1 Jr,Kata Software,,"Álvaro Obregón, CDMX","$7,000 - $8,000 al mes",Postedhace 30+ días,"Tenemos presencia en Colombia, Ecuador y Perú.
 6 meses a 1 año de experiencia en mesa de ayuda (pueden ser prácticas profesionales)."
461,Influencer Marketing and Content Creator,TopFoxx,,"Guadalajara, Jal.",$144 - $246 por hora,EmployerActivo hace 4 días,"Ability to analyze metrics, revenue and additional data to determine success and areas for improvement across campaigns and other marketing initiatives."
462,Data Engineer Analytics,Selecciona Talento,,"Miguel Hidalgo, CDMX","$60,000 al mes",Postedhace 27 días,"*Design and build maintainable and scalable infrastructure for data extraction, preparation, and loading of data from backend services and web browser clients…"
463,Full Stack MLOps & Data Engineer,Quinio,,"11000, Colonia Lomas de Chapultepec, CDMX",,Postedhace 30+ días,"Strong interest and prior experience building complex data pipelines, transformation, and availability of data to be utilized by the Data Science team to deploy…"
464,Data Architect - Remoto - USA,Dresden Partners,2.4,"Guadalajara, Jal.",,Postedhace 24 días,"Dresden Partners expertos en web technology, UX / UI, mobile and software development, con servicios near-shore staffing, tech international y local tech…"
465,Influencer Marketing and Content Creator,TopFoxx,,"Guadalajara, Jal.",,EmployerActivo hace 4 días,"Ability to analyze metrics, revenue and additional data to determine success and areas for improvement across campaigns and other marketing initiatives."
466,Data Engineer Analytics,Selecciona Talento,,"Miguel Hidalgo, CDMX",,Postedhace 27 días,"*Design and build maintainable and scalable infrastructure for data extraction, preparation, and loading of data from backend services and web browser clients…"
467,Full Stack MLOps & Data Engineer,Quinio,,"11000, Colonia Lomas de Chapultepec, CDMX",,Postedhace 30+ días,"Strong interest and prior experience building complex data pipelines, transformation, and availability of data to be utilized by the Data Science team to deploy…"
468,Data Architect - Remoto - USA,Dresden Partners,2.4,"Guadalajara, Jal.",,Postedhace 24 días,"Dresden Partners expertos en web technology, UX / UI, mobile and software development, con servicios near-shore staffing, tech international y local tech…"
469,nuevo empleoIndustrial Engineer,Bosch Group,4.1,"Ciudad Juárez, Chih.",,Postedhace 6 días,"Put data in SAP by time management tool CAPP.
 Participate on validations and installations of new production lines or equipment; this according to internal…"
470,SOFTWARE DEVELOPER,Weatherford,3.9,"Remoto in Monterrey, N. L.",,Postedhace 18 días,"Able to alter models, query data and manipulate data.
 Knowledge on oil and gas data protocols like WITS or WITSML.
 Proficiency in T-SQL syntax."
471,Invoicing Specialist Entry,PPG Industries,3.4,"Querétaro, Qro.",,Postedhace 13 días,"As an INVOICING SPECIALIST EXPERIENCED, you will be able to handle everything that has to do with putting invoices together and sending them out to clients."
472,Consultor IOT,BSIDE,3.8,"Benito Juárez, CDMX",,Postedhace 30+ días,"BSide está conformado por grandes especialistas, arquitectos y líderes técnicos.
 IoT (Hub, Edge, Stream Analytics, App Service, App Insights, Azure Data…"
473,Ingeniero de proyectos,Ecolab,3.5,"Lerma de Villada, Méx.",,EmployerActivo hace 29 días,"Si usted es un profesional apasionado que le gusta interactuar con los clientes y le gusta trabajar en un entorno autónomo, lo invitamos a postularse."
474,Spatial Data Engineer II,HERE Technologies,3.8,"León, Gto.",,Postedhace 30+ días,"Manipulating HERE and Partner data with the help of programming tools and data management methodologies (modelling, scripts, queries etc.)."
475,nuevo empleoIT Enginner,,,"Ciudad Juárez, Chih.",,Postedhace 7 días,"Ability to define problems, collect data, establish facts, and draw valid conclusions.
 Assist in troubleshooting applications, hardware and networking issues."
476,Analista de Transporte,ivoy,3.0,"Azcapotzalco, CDMX",,Postedhace 30+ días,"Facturación, Gestion de Carta porte y Registro de data.
 Siempre preocupados por nuestros clientes y talento.
 Capacitación de driver internos y externos."
477,Global Consumer Data Governance Lead,Kellogg Company,3.6,"Querétaro, Qro.",,Postedhace 12 días,"Experience working with eCommerce data.
 Aid in the creation of data policies, procedures, and guidelines around the consumer data space and help drive awareness…"
478,My Pay Advisor,Mondelēz International,4.0,"Colonia Santa Fe, CDMX",,Postedhace 30+ días,"You will ensure that all activities comply with standard operating procedures and legal requirements, including data privacy considerations and work with other…"
479,Data Scientist Artificial Intelligence,GS S.A. DE C.V,,"Tlalpan, CDMX",,EmployerActivo hace 3 días,Generar documentación de cada arquitectura de solución de datos provista para la operacionalización de iniciativas de IA.
480,Regulatory Technologist,Kerry,3.3,"Querétaro, Qro.",,Postedhace 19 días,"Manage technical data and documentation, ensuring that accurate and timely information is supplied to the customers, R&D, manufacturing and commercial teams."
481,Data Scientist / Senior Data Scientist,C3 AI,,"Guadalajara, Jal.",,Postedhace 30+ días,"Collaborating with data and subject matter experts from C3 AI and its customer teams to seek, understand, validate, interpret, and correctly use new data…"
482,Scheduling and planning support intern,Baker Hughes,4.0,"Ciudad del Carmen, Camp.",,Postedhace 30+ días,The Baker Hughes Internship is designed to enable undergraduates pursing a Bachelor’s degree to gain hands-on work experience as the foundation of their…
483,Practicante de Actuaria,Solistica,3.7,"Monterrey, N. L.","$8,000 al mes",EmployerActivo hace 5 días,"En FEMSA, Solistica, Coca-Cola FEMSA, FEMSA Comercio, y Al Punto TODOS los procesos de reclutamiento y selección de personal son GRATUITOS para todos los…"
484,Legal Counsel – Legal Operations,CIMMYT,4.5,"Texcoco, Méx.",,Postedhace 30+ días,Curation of the CIMMYT agreements database and other documents at Headquarters and Regional Offices; maintain a high level of support for stakeholders requiring…
485,Data Engineer - Data Integration,IBM,3.9,"Remoto in Guadalajara, Jal.+1 ubicación",,Postedhace 30+ días,The ideal candidate will be well versed with sql and experienced in data transformation and curating data for analytics consumption.
486,Key Account Executive / retail / eCommerce,Alameda,,"Remoto in Cuauhtémoc, CDMX","$15,000 - $18,000 al mes",EmployerActivo hace 3 días,"Analizar la data para determinar el forecast de ventas y el inventario disponible en CEDIS.
 Nos enfocamos en facilitar todo el proceso de compra de muebles y…"
487,nuevo empleoCoordinador de Inteligencia de Negocio,Aon,3.7,"Cuauhtémoc, CDMX",,PostedRecién publicado,"Colaborar con los 8 países de LatAm, con el equipo de Growth Ops de cada país, los equipos de marketing, ABS, analistas de datos, etc."
488,Ingeniero en Sistemas,Consultores Estratégicos en PAM,,"León, Gto.","$18,000 - $20,000 al mes",EmployerActivo hace 2 días,"Coordinar, supervisar y monitorear el buen funcionamiento y operación normal de los sistemas.
 Mantención y soporte de los sistemas que están en operación."
489,Analista de Costos y Presupuestos,Ingenes,3.1,"Álvaro Obregón, CDMX","$20,000 - $25,000 al mes",EmployerActivo hace 2 días,"Por expansión estamos en búsqueda talento que sume a esta gran familia, talento que inspire, talento que comparta y viva nuestros valores, y sobre todo talento…"
490,nuevo empleoMarketing Specialist,amuntalent,,"Playa del Carmen, QRoo.","$20,000 - $35,000 al mes",Postedhace 6 días,"Lectura en analisis de marketing data y analytics( resultados de campañas, tasa de conversión, trafico, generación de leads, etc)."
