,Title,Company,Company_Rating,Location,Salary,Date,Description
824,Accounting and HR Supervisor,Selina,3.7,"Puerto Escondido, Oax.+1 ubicación",,Postedhace 19 días,"File and input data in accounting system.
 Responsible for all accounting functions in the location, including payroll, cash management and consolidating…"
825,Gerente e-commerce y marketing,MAREL DE MÉXICO SA DE CV,2.8,"Miguel Hidalgo, CDMX","$27,000 - $30,000 al mes",EmployerActivo hace 7 días,"Gerente de eCommerce y Marketing Digital*.
 Deseable Maestría en Comunicación, Administración o Marketing Digital.
 Google Ads y Facebook Ads, Google Analytics."
826,Testing Quality Engineering,Bosch Group,4.1,"Querétaro, Qro.",,Postedhace 20 días,"Assist Quality Engineers and Process Engineers in root cause analysis and data collection.
 Maintaining and improving customer satisfaction related to quality…"
827,Visual Designer,HSBC,4.0,"Cuauhtémoc, CDMX",,Postedhace 30+ días,"Focused on user centric mindset, with data driven and critical thinking.
 The Visual Designer is responsible of how a product or experience looks and masters the…"
828,Asesor de relaciones comunitarias - Proyecto R,Newmont Mining,4.0,"Mazapil, Zac.",,Postedhace 11 días,"Newmont never asks its candidates for any type of financial compensation to be a candidate for an offer of employment or for doing paperwork, exams or any other…"
829,Ingeniero de Datos y Analítica remoto (sin sesgos de género),Turing.com,,Remoto,,EmployerActivo hace 18 días,"Solo se considerarán candidatos con +3 años de experiencia en desarrollo de software para este puesto.*.
 Turing.com busca contratar a un Ingeniero de Datos y…"
830,Program Manager,CIMMYT,4.5,"Texcoco, Méx.",,Postedhace 30+ días,"With support from other administrative units as appropriate or necessary, develop and maintain databases and systems for managing program-specific information…"
831,Principal Clinical Data Manager,IQVIA,3.8,Remoto,,Postedhace 30+ días,"Provides proactive, timely communication of project status, data trends and issue resolution with internal team and Sponsor.
 Serves as Data Operations mentor."
832,SQL Data Analyst,Acclaim Energy Advisors,,"Monterrey, N. L.",,Postedhace 30+ días,"Experience with Power-related commodities markets and data.
 Exposure to unstructured data management tools is desirable (Like SnowFlake™)."
833,Senior ReactJS Developer,Luby Software,,Remoto,,Postedhace 30+ días,"Experience building large data sets visualization with interactive web UI.
 Experience improving performance, accessibility(a11y) and data management of big…"
834,Planeador de Suministro de Planta,Driscoll's,3.8,"Guadalajara, Jal.",,Postedhace 9 días,"Ability to maintain data (entry, audit, and reporting) is essential.
 This position will manage the process, systems and reporting for all end-to-end activities…"
835,DBA (Data warehouse),Tecnologías y Aplicaciones México,,"Guadalajara, Jal.","$45,000 - $55,000 al mes",EmployerActivo hace 26 días,"SQL y análisis de requisitos.
 Experiencia en modelo onshore/offshore.
 Experiencia con Oracle, SQL Server, Postgres.
 4 días libres al año."
836,Cyber Incident Responder,Siemens,4.0,"11560, Colonia Polanco, CDMX",,Postedhace 26 días,"Guided by documented processes and Key Experts, analyze reports about potential / suspected incidents, collect and analyze technical incident information and…"
837,Gerente de Sistemas,"Marriott International, Inc",4.1,"Puerto Vallarta, Jal.",,Postedhace 30+ días,"Uses computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information."
838,TÃ©cnico Jr Cuarto de impresiÃ³n,Medline Industries,3.3,"Mexicali, B.C.",,Postedhace 30+ días,"Es el responsable de verificar y liberar todas las órdenes recibidas por Data Entry antes de ser procesadas por Picking.
 Archiva órdenes, expedientes y masters."
839,Data Engineer,Autoliv Mexico,3.9,"Querétaro, Qro.",,Postedhace 30+ días,"Develop data architectures & data models for data ingestion/processing.
 Engineer data flows & techniques to support big data and large data sets."
840,Administrative Assistant - Remote,Gordian Staffing,,"Remoto in Guadalajara, Jal.",,Postedhace 17 días,"The Admin Assistant is responsible for the company's administrative tasks, from keeping a record of the daily services done up to customer service activities."
841,Operations Analyst,ICL inc,,"Naucalpan, Méx.+5 ubicaciones",,EmployerActivo hace 2 días,"Ability to provide proactive analysis of customer’s logistic pipeline, providing recommendations for improvements based on data from the system."
842,Financial Controller,Dyno Nobel,3.6,"Gómez Palacio, Dgo.",,Postedhace 30+ días,"Prepare budgets and forecasts by collecting, analyzing and consolidating financial data, and preparing financial models to assess different scenarios."
843,Healthcare Life Sciences Account Executive - MuleSoft,Salesforce,4.3,Remoto,,Postedhace 30+ días,Every CIO today is being forced to evaluate their integration strategy in order to move faster and increase innovation to meet the demands of the market.
844,Trafficker E-Commerce,NA-AT Technologies,4.3,"Colonia Condesa, CDMX",,Postedhace 30+ días,"Escolaridad: Lic. en Mercadotecnía, Comunicación o afín.
 Técnicas de remarketing para upselling y cross selling.
 Conocimiento de pago para inbound marketing."
845,Actuario / Home office,UBBITT,,"Remoto in Benito Juárez, CDMX",,EmployerActivo hace 21 días,"Manejo de CRM (Hubspot o Salesforce).
 Conocimiento en configuración de campañas por medio de social media (Data Studio/Facebook Business."
846,nuevo empleoPython Developer,Grid Dynamics,,"Guadalajara, Jal.",,Postedhace 7 días,"Grid Dynamics is a leading provider of technology consulting, agile co-creation, scalable engineering and data science services for Fortune 500 corporations…"
847,COORDINADOR DE ESTADISTICOS Y BASES DE DATOS,DHL SUPPLY CHAIN,3.7,"Cuautitlán Izcalli, Méx.",,EmployerActivo hace 2 días,"Creación y modificación de Dashboards ejecutivos (Business Intelligence).
 Mantenimiento y creación de queries SQL."
848,Data Analytics para Cuernavaca,MVS RADIO,4.4,"Cuernavaca, Mor.",,EmployerActivo hace 8 días,"Analytics de sitios web y redes sociales.
 Elaborar reportes ejecutivos de redes sociales.
 Uso de herramientas de gestión y estadísticas de redes sociales como:…"
849,Credit Risk Sr Analyst,Konfio,,"Miguel Hidalgo, CDMX",,Postedhace 12 días,Estamos buscando un Credit Risk Sr Analyst que será responsable de contribuir en el desarrollo del proceso de crédito de extremo a extremo de nuestro negocio.
850,Business Intelligence Analyst,Johnson Controls,3.7,"San Pedro Garza García, N. L.",,Postedhace 30+ días,"Monitors the performance of reports and dashboards, completes data validations, resolves data integrity issues and develop/enhance processes with simplification…"
851,Internal Services Lead,CIMMYT,4.5,"Texcoco, Méx.",,Postedhace 30+ días,"Collaborates with Database team on data modeling, data infrastructure, and monitoring and performance optimization.
 Experience implementing QA best practices."
852,"Data Engineer – Guadalajara, Mexico",Pentalog,,"Guadalajara, Jal.",,Postedhace 30+ días,"Rock-solid computer science foundation (data structures, algorithms, optimization);
 5+ years of programming experience, ideally in a compiled language (C#, Java…"
853,Parcel Sr. Product Manager,99minutos.com,1.9,"Miguel Hidalgo, CDMX",,Postedhace 11 días,"Build, maintain, and regularly communicate detailed reporting for other leaders across the company who will use your team's data to inform their own operations…"
854,"Sales Engineer, Enterprise",Snowflake,,Remoto,,Postedhace 30+ días,"Knowledge and experience within the data science, analytics, or big data markets.
 5+ years of relevant experience in a sales engineering or consulting role for…"
